Time(s),CH1V
0.000000e+00,2.144827e-02
5.000000e-03,6.084849e-01
1.000000e-02,9.573979e-01
1.500000e-02,9.301690e-01
2.000000e-02,5.650302e-01
2.500000e-02,-3.432520e-02
3.000000e-02,-6.145048e-01
3.500000e-02,-9.523747e-01
4.000000e-02,-9.461954e-01
4.500000e-02,-5.571765e-01
5.000000e-02,1.877720e-02
5.500000e-02,6.093221e-01
6.000000e-02,9.582351e-01
6.500000e-02,9.316441e-01
7.000000e-02,5.553426e-01
7.500000e-02,-3.647800e-02
8.000000e-02,-6.087639e-01
8.500000e-02,-9.625806e-01
9.000000e-02,-9.473515e-01
9.500000e-02,-5.643923e-01
1.000000e-01,1.897653e-02
1.050000e-01,5.979601e-01
1.100000e-01,9.575574e-01
1.150000e-01,9.288135e-01
1.200000e-01,5.640734e-01
1.250000e-01,-2.583360e-02
1.300000e-01,-6.067706e-01
1.350000e-01,-9.528930e-01
1.400000e-01,-9.345145e-01
1.450000e-01,-5.635552e-01
1.500000e-01,1.678387e-02
1.550000e-01,6.071294e-01
1.600000e-01,9.499030e-01
1.650000e-01,9.393383e-01
1.700000e-01,5.658674e-01
1.750000e-01,-2.667080e-02
1.800000e-01,-6.021461e-01
1.850000e-01,-9.640557e-01
1.900000e-01,-9.473515e-01
1.950000e-01,-5.612030e-01
2.000000e-01,3.049800e-02
2.050000e-01,6.001129e-01
2.100000e-01,9.558830e-01
2.150000e-01,9.308069e-01
2.200000e-01,5.678608e-01
2.250000e-01,-3.512253e-02
2.300000e-01,-6.081660e-01
2.350000e-01,-9.618630e-01
2.400000e-01,-9.453582e-01
2.450000e-01,-5.618808e-01
2.500000e-01,2.966080e-02
2.550000e-01,6.094816e-01
2.600000e-01,9.563614e-01
2.650000e-01,9.323218e-01
2.700000e-01,5.586914e-01
2.750000e-01,-3.496306e-02
2.800000e-01,-6.136675e-01
2.850000e-01,-9.545674e-01
2.900000e-01,-9.368267e-01
2.950000e-01,-5.605253e-01
3.000000e-01,2.950133e-02
3.050000e-01,6.096809e-01
3.100000e-01,9.483482e-01
3.150000e-01,9.413317e-01
3.200000e-01,5.690567e-01
3.250000e-01,-3.217240e-02
3.300000e-01,-6.056544e-01
3.350000e-01,-9.652118e-01
3.400000e-01,-9.465143e-01
3.450000e-01,-5.615219e-01
3.500000e-01,1.865760e-02
3.550000e-01,6.084849e-01
3.600000e-01,9.485475e-01
3.650000e-01,9.403350e-01
3.700000e-01,5.631964e-01
3.750000e-01,-3.516240e-02
3.800000e-01,-6.083254e-01
3.850000e-01,-9.573979e-01
3.900000e-01,-9.390194e-01
3.950000e-01,-5.680202e-01
4.000000e-01,2.013266e-02
4.050000e-01,6.064916e-01
4.100000e-01,9.563614e-01
4.150000e-01,9.414911e-01
4.200000e-01,5.660269e-01
4.250000e-01,-3.516240e-02
4.300000e-01,-6.024650e-01
4.350000e-01,-9.530525e-01
4.400000e-01,-9.467137e-01
4.450000e-01,-5.703325e-01
