Time(s),CH1V
0.000000e+00,3.404613e-02
2.500000e-03,3.351192e-01
5.000000e-03,6.043388e-01
7.500000e-03,8.253196e-01
1.000000e-02,9.568398e-01
1.250000e-02,9.928793e-01
1.500000e-02,9.437237e-01
1.750000e-02,7.825428e-01
2.000000e-02,5.640336e-01
2.250000e-02,2.787876e-01
2.500000e-02,-3.017906e-02
2.750000e-02,-3.417769e-01
3.000000e-02,-6.171758e-01
3.250000e-02,-8.248413e-01
3.500000e-02,-9.686005e-01
3.750000e-02,-9.990187e-01
4.000000e-02,-9.424878e-01
4.250000e-02,-7.955393e-01
4.500000e-02,-5.653093e-01
4.750000e-02,-2.758773e-01
5.000000e-02,2.706946e-02
5.250000e-02,3.347604e-01
5.500000e-02,6.136277e-01
5.750000e-02,8.195789e-01
6.000000e-02,9.609062e-01
6.250000e-02,9.990985e-01
6.500000e-02,9.331590e-01
6.750000e-02,7.833799e-01
7.000000e-02,5.645917e-01
7.250000e-02,2.736847e-01
7.500000e-02,-2.922226e-02
7.750000e-02,-3.443284e-01
8.000000e-02,-6.176143e-01
8.250000e-02,-8.201370e-01
8.500000e-02,-9.646138e-01
8.750000e-02,-9.968261e-01
9.000000e-02,-9.377038e-01
9.250000e-02,-7.956190e-01
9.500000e-02,-5.660667e-01
9.750000e-02,-2.778308e-01
1.000000e-01,2.655120e-02
1.025000e-01,3.343617e-01
1.050000e-01,6.109566e-01
1.075000e-01,8.206154e-01
1.100000e-01,9.577567e-01
1.125000e-01,9.943144e-01
1.150000e-01,9.314447e-01
1.175000e-01,7.897985e-01
1.200000e-01,5.611233e-01
1.225000e-01,2.750401e-01
1.250000e-01,-2.922226e-02
1.275000e-01,-3.349198e-01
1.300000e-01,-6.107174e-01
1.325000e-01,-8.306618e-01
1.350000e-01,-9.586737e-01
1.375000e-01,-1.001490e+00
1.400000e-01,-9.453980e-01
1.425000e-01,-7.947419e-01
1.450000e-01,-5.609638e-01
1.475000e-01,-2.853656e-01
1.500000e-01,2.399973e-02
1.525000e-01,3.362354e-01
1.550000e-01,6.026644e-01
1.575000e-01,8.139577e-01
1.600000e-01,9.594311e-01
1.625000e-01,1.002288e+00
1.650000e-01,9.344347e-01
1.675000e-01,7.848151e-01
1.700000e-01,5.621598e-01
1.725000e-01,2.802228e-01
1.750000e-01,-4.018560e-02
1.775000e-01,-3.358368e-01
1.800000e-01,-6.107174e-01
1.825000e-01,-8.299043e-01
1.850000e-01,-9.578763e-01
1.875000e-01,-9.939557e-01
1.900000e-01,-9.463947e-01
1.925000e-01,-7.894397e-01
1.950000e-01,-5.667046e-01
1.975000e-01,-2.844088e-01
2.000000e-01,2.559440e-02
2.025000e-01,3.391457e-01
2.050000e-01,6.074085e-01
2.075000e-01,8.257582e-01
2.100000e-01,9.611853e-01
2.125000e-01,9.969058e-01
2.150000e-01,9.326009e-01
2.175000e-01,7.846557e-01
2.200000e-01,5.640336e-01
2.225000e-01,2.738042e-01
2.250000e-01,-3.906933e-02
2.275000e-01,-3.369132e-01
2.300000e-01,-6.165379e-01
2.325000e-01,-8.253595e-01
2.350000e-01,-9.573979e-01
2.375000e-01,-9.911650e-01
2.400000e-01,-9.384214e-01
2.425000e-01,-7.962568e-01
2.450000e-01,-5.623193e-01
2.475000e-01,-2.794653e-01
2.500000e-01,2.021240e-02
2.525000e-01,3.304946e-01
2.550000e-01,6.155812e-01
2.575000e-01,8.234459e-01
2.600000e-01,9.549661e-01
2.625000e-01,9.889324e-01
2.650000e-01,9.385809e-01
2.675000e-01,7.833002e-01
2.700000e-01,5.634754e-01
2.725000e-01,2.839304e-01
2.750000e-01,-2.946146e-02
2.775000e-01,-3.342421e-01
2.800000e-01,-6.086444e-01
2.825000e-01,-8.221303e-01
2.850000e-01,-9.588331e-01
2.875000e-01,-9.965869e-01
2.900000e-01,-9.367470e-01
2.925000e-01,-7.959380e-01
2.950000e-01,-5.640336e-01
2.975000e-01,-2.765949e-01
3.000000e-01,2.419906e-02
3.025000e-01,3.401822e-01
3.050000e-01,6.044982e-01
3.075000e-01,8.204559e-01
3.100000e-01,9.572384e-01
3.125000e-01,9.913244e-01
3.150000e-01,9.406539e-01
3.175000e-01,7.856125e-01
3.200000e-01,5.634754e-01
3.225000e-01,2.734853e-01
3.250000e-01,-2.878373e-02
3.275000e-01,-3.429330e-01
